hash,block,from,to,value (ETH),gas used,gas price (Gwei),tx fee (ETH),timestamp,success
0xab302e949b1207cac3c74f88eb2a75a621f1b29307b3b45c9c3d5ec7674eb675,22059147,0x0bc51935db6a2940a8898ea0852a7e22890da84e,0xf60095e686e0c2ae955b017a427def4f3b4aa329,4.313331406896742,21000,0.954732086,2.0049373806e-05,2025-03-16 11:28:35,True
0xd826a914e05bfd566468ce3fd097cc2d85432e65f5113a4474d78183e49a863b,22059154,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.18619101069800348,183947,0.667497576,0.000122784176612472,2025-03-16 11:29:59,True
0xa7f93d62fe7a2f45b4422027f517f3353461235d2a5d2b71eea2d16bab34c106,22059163,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x0000000000001ff3684f28c67538d4d072c22734,4.127347957204885,173938,0.705577177,0.000122726683013026,2025-03-16 11:31:47,True
0x0247090008a57755aca3c737a80e7fc711316b96252ce4423d8ab7b1f087ce84,22061651,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,63221,0.577850801,3.6532305490021e-05,2025-03-16 19:52:23,True
0x4c9244b844e8549ddbbb77e797e42c79482c97ae6e31c344b066eb994e56be59,22073658,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,48825,0.535368993,2.6139391083225e-05,2025-03-18 12:07:59,True
0x7aa9b7b75a73821113df28fa6dc8194ecb6c886e76aa9297113b65a410ede149,22073658,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x0000000000001ff3684f28c67538d4d072c22734,0.0,182829,0.535368993,9.7880977621197e-05,2025-03-18 12:07:59,True
0xcc9b5f4f7962ae9b250bd1f87b0a3577303d62cbaa2291bfa7eede9069e8ece4,22073663,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0.1571954300878482,21000,0.556886087,1.1694607827e-05,2025-03-18 12:08:59,True
0x3a9059f4fa2a60402290b155be7f2b71f97b7ac177991d1a5a7ce82157aa7270,22233855,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.05,21000,5.156840395,0.000108293648295,2025-04-09 20:51:35,True
0x70ffba192fffa4e192d99d890608881ab98614cf1006dc6344f2b55c431407b6,22233867,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x0000000000001ff3684f28c67538d4d072c22734,0.0,423110,3.007424243,0.00127247127145573,2025-04-09 20:53:59,True
0x3583d6eb5c771b68203dfb613340c2bc085bd09e49f194bdc0de58335579078f,22233879,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x0bc51935db6a2940a8898ea0852a7e22890da84e,1.204326195902805,21000,2.780186834,5.8383923514e-05,2025-04-09 20:56:23,True
